id_user,umur,jenis_kelamin,tinggi_badan,berat_badan,target_berat,aktivitas_harian,rutin_olahraga,ngemil_malam,jam_tidur,motivasi
1,38,laki-laki,173.8,80.1,69.6,sedang,jarang,sering,4,Menurunkan Berat Badan
2,57,laki-laki,190.2,114.8,101.8,sedang,sering,sering,6,Menurunkan Berat Badan
3,64,laki-laki,186.6,88.6,74.3,sedang,tidak pernah,sering,6,Menurunkan Berat Badan
4,32,laki-laki,165,70.8,61.3,rendah,tidak pernah,jarang,8,Menjaga Kesehatan
5,43,laki-laki,193.6,95,85,rendah,tidak pernah,sering,4,Menurunkan Berat Badan
6,58,laki-laki,172,87,79.9,sedang,sering,jarang,7,Menurunkan Berat Badan
7,37,laki-laki,161.9,74.6,56.5,rendah,jarang,jarang,4,Meningkatkan Kebugaran
8,20,laki-laki,168.6,74.6,69.9,rendah,tidak pernah,jarang,6,Menurunkan Berat Badan
9,49,laki-laki,177.8,91.8,74.8,rendah,sering,jarang,7,Menurunkan Berat Badan
10,56,laki-laki,173.7,68.6,68.9,rendah,tidak pernah,tidak pernah,8,Meningkatkan Kebugaran
11,56,laki-laki,180.8,80.2,88.6,tinggi,sering,sering,4,Meningkatkan Berat Badan
12,32,laki-laki,171.6,75.2,71.2,rendah,tidak pernah,jarang,7,Menurunkan Berat Badan
13,63,laki-laki,194.5,100.6,90.8,rendah,tidak pernah,jarang,9,Meningkatkan Kebugaran
14,39,laki-laki,167.5,85,76.3,rendah,jarang,sering,4,Menurunkan Berat Badan
15,20,laki-laki,175.5,73.9,72.7,rendah,jarang,tidak pernah,6,Menjaga Kesehatan
16,42,laki-laki,187.4,77.4,78,tinggi,sering,jarang,5,Menjaga Kesehatan
17,35,laki-laki,195.8,99.3,87.5,sedang,jarang,tidak pernah,5,Menjaga Kesehatan
18,41,laki-laki,189.3,63.2,66.8,rendah,jarang,jarang,4,Meningkatkan Berat Badan
19,50,laki-laki,185.5,75.9,81.5,tinggi,jarang,tidak pernah,8,Meningkatkan Kebugaran
20,55,laki-laki,161.9,68.7,56.8,sedang,tidak pernah,jarang,5,Meningkatkan Kebugaran
21,61,laki-laki,193.4,73.8,72.8,rendah,jarang,sering,7,Menjaga Kesehatan
22,21,laki-laki,194.9,123.1,106.4,rendah,jarang,jarang,7,Menurunkan Berat Badan
23,21,laki-laki,178.5,66.8,72.1,sedang,jarang,sering,4,Menjaga Kesehatan
24,52,laki-laki,166.5,77.2,71.2,sedang,jarang,jarang,9,Menurunkan Berat Badan
25,42,laki-laki,178.1,80.9,68.3,sedang,jarang,jarang,4,Meningkatkan Kebugaran
26,33,laki-laki,181.8,82,73.9,tinggi,tidak pernah,sering,7,Menjaga Kesehatan
27,48,laki-laki,173.1,78.9,64.5,rendah,tidak pernah,tidak pernah,6,Menjaga Kesehatan
28,33,laki-laki,163.7,74.3,59,tinggi,tidak pernah,sering,8,Meningkatkan Kebugaran
29,27,laki-laki,161.7,54,56.9,sedang,sering,jarang,7,Meningkatkan Kebugaran
30,41,laki-laki,160.1,69.6,58.3,tinggi,jarang,tidak pernah,7,Menurunkan Berat Badan
31,33,laki-laki,170.7,83.2,63.9,sedang,jarang,tidak pernah,5,Meningkatkan Kebugaran
32,56,laki-laki,193.2,80.9,68.6,rendah,tidak pernah,tidak pernah,7,Menurunkan Berat Badan
33,40,laki-laki,166.4,63.8,63.8,tinggi,tidak pernah,jarang,9,Menjaga Kesehatan
34,31,laki-laki,179.4,67.7,69,sedang,sering,jarang,6,Menjaga Kesehatan
35,56,laki-laki,184.4,57.3,62.1,sedang,sering,sering,5,Meningkatkan Berat Badan
36,64,laki-laki,190.2,85.8,77.9,tinggi,jarang,sering,8,Meningkatkan Kebugaran
37,40,laki-laki,181.1,84.5,78.4,tinggi,sering,sering,5,Menurunkan Berat Badan
38,32,laki-laki,189.2,98.3,82.9,sedang,sering,tidak pernah,8,Menurunkan Berat Badan
39,60,laki-laki,159.7,59.8,66.8,rendah,tidak pernah,sering,7,Meningkatkan Berat Badan
40,61,laki-laki,188.8,81.8,79.5,sedang,sering,tidak pernah,9,Menjaga Kesehatan
41,23,laki-laki,170.5,53,42.6,sedang,jarang,jarang,9,Menurunkan Berat Badan
42,44,laki-laki,182,80.8,73.5,tinggi,jarang,sering,4,Menjaga Kesehatan
43,54,laki-laki,165.2,74.8,60.2,sedang,jarang,jarang,4,Menurunkan Berat Badan
44,25,laki-laki,175.7,63.9,62.3,rendah,tidak pernah,sering,5,Menjaga Kesehatan
45,18,laki-laki,166.6,66.2,67.4,rendah,jarang,jarang,7,Menjaga Kesehatan
46,51,laki-laki,184.9,100.6,92.4,rendah,tidak pernah,tidak pernah,8,Menurunkan Berat Badan
47,35,laki-laki,160.3,68.3,56.3,sedang,jarang,tidak pernah,7,Menurunkan Berat Badan
48,35,laki-laki,194.3,82.3,90.2,rendah,jarang,sering,7,Meningkatkan Kebugaran
49,63,laki-laki,194.2,111.1,95.9,rendah,tidak pernah,jarang,8,Menurunkan Berat Badan
50,26,laki-laki,198.1,104.1,87.8,rendah,tidak pernah,sering,8,Menurunkan Berat Badan
51,46,laki-laki,182.9,82.5,72.9,rendah,tidak pernah,jarang,4,Meningkatkan Kebugaran
52,57,laki-laki,184.8,79.7,78.1,sedang,jarang,jarang,5,Menjaga Kesehatan
53,42,laki-laki,176.6,67.2,67.2,sedang,jarang,jarang,5,Menjaga Kesehatan
54,21,laki-laki,190.9,65.7,86.8,rendah,jarang,tidak pernah,7,Meningkatkan Kebugaran
55,27,laki-laki,187.6,82.7,76.5,sedang,sering,tidak pernah,4,Menjaga Kesehatan
56,53,laki-laki,178.6,92.9,71.3,sedang,tidak pernah,tidak pernah,4,Menjaga Kesehatan
57,26,laki-laki,194.2,83.3,85.2,rendah,jarang,tidak pernah,4,Meningkatkan Kebugaran
58,20,laki-laki,197.2,76.6,88,rendah,tidak pernah,sering,5,Meningkatkan Kebugaran
59,18,laki-laki,178.5,65,70.6,tinggi,sering,sering,7,Meningkatkan Kebugaran
60,36,laki-laki,177.4,88.1,72.8,tinggi,sering,jarang,9,Menurunkan Berat Badan
61,26,laki-laki,192.3,90.5,91.2,sedang,jarang,sering,5,Meningkatkan Kebugaran
62,59,laki-laki,189.4,62.5,51,rendah,tidak pernah,tidak pernah,5,Menurunkan Berat Badan
63,52,laki-laki,169.6,78.8,65.1,sedang,jarang,tidak pernah,5,Menurunkan Berat Badan
64,33,laki-laki,163.6,54.8,58,sedang,sering,sering,4,Meningkatkan Berat Badan
65,31,laki-laki,198.9,125.7,118.1,tinggi,sering,sering,6,Menurunkan Berat Badan
66,46,laki-laki,184.5,81.9,70.1,sedang,tidak pernah,sering,5,Menjaga Kesehatan
67,21,laki-laki,166.1,67.2,76.6,tinggi,sering,sering,8,Meningkatkan Berat Badan
68,40,laki-laki,194,92.2,81.3,tinggi,jarang,tidak pernah,4,Meningkatkan Kebugaran
69,40,laki-laki,162.1,65.6,54.6,rendah,jarang,tidak pernah,9,Menurunkan Berat Badan
70,60,laki-laki,190,92.4,84.7,tinggi,jarang,jarang,8,Menjaga Kesehatan
71,51,laki-laki,179,74.7,66,tinggi,jarang,jarang,8,Menjaga Kesehatan
72,45,laki-laki,173.8,81.4,71.4,rendah,jarang,sering,7,Menjaga Kesehatan
73,51,laki-laki,177.8,82.9,75.7,sedang,sering,sering,4,Menurunkan Berat Badan
74,47,laki-laki,186.8,83.7,75.4,rendah,tidak pernah,jarang,5,Meningkatkan Kebugaran
75,62,laki-laki,175.5,89.4,68.3,tinggi,jarang,jarang,7,Menjaga Kesehatan
76,44,laki-laki,176.8,70.7,62.7,tinggi,sering,sering,4,Menjaga Kesehatan
77,29,laki-laki,196.8,93.8,79.1,sedang,jarang,sering,7,Menurunkan Berat Badan
78,50,laki-laki,178.6,99.8,81,sedang,jarang,tidak pernah,9,Menurunkan Berat Badan
79,57,laki-laki,190.7,111,100.1,sedang,jarang,jarang,9,Menurunkan Berat Badan
80,56,laki-laki,199.4,102.6,86,sedang,jarang,tidak pernah,6,Meningkatkan Kebugaran
81,29,laki-laki,189.3,100.4,81.8,tinggi,sering,jarang,6,Meningkatkan Kebugaran
82,43,laki-laki,189.9,91.1,82.2,rendah,jarang,jarang,4,Menurunkan Berat Badan
83,61,laki-laki,170.4,69.9,64.5,tinggi,sering,tidak pernah,4,Menjaga Kesehatan
84,59,laki-laki,194.7,89.5,89.1,tinggi,sering,tidak pernah,5,Meningkatkan Kebugaran
85,36,laki-laki,194,104.5,92.2,tinggi,sering,sering,6,Menurunkan Berat Badan
86,43,laki-laki,197.4,90,77.9,sedang,jarang,tidak pernah,6,Menjaga Kesehatan
